address|city_state_zip|latitude|longitude
2629 DOUGLAS RD SE APT 202|Washington, DC 20020|38.8569383|-76.9895142
1201 K ST NW|Washington, DC 20007|38.9026738|-77.02826809999999
2100 FOXHALL ST NW|Washington, DC 20007|38.917879|-77.09129399999999
1133 CONNECTICUT AVE NW|Washington, DC 20036|38.9050691|-77.0415421
2225 GEORGIA AVE NW|Washington, DC 20059|38.91974099999999|-77.021547
3520 PROSPECT ST NW|WASHINGTON, DC 20007|38.905178|-77.0695592
600 L ST NW|Washington, DC 20001|38.904018|-77.0201919
2121 MASSACHUSETTS AVE NW|Washington, DC 20008|38.911755|-77.047859
775 G ST NW|Washington, DC 20001|38.898608|-77.022747
1774 COLUMBIA RD NW FL 2ND|WASHINGTON, DC 20009|38.9191485|-77.0362967
508 C ST SW|WASHINGTON, DC 20024|38.8860154|-77.01838169999999
1811 18TH ST NW|WASHINGTON, DC 20009|38.91455|-77.041388
1300 I ST NW|Washington, DC 20005|38.9011023|-77.0302955
3308 Georgia AVE NW|WASHINGTON, DC 20011|38.931308|-77.02384599999999
500 12TH ST SW|Washington, DC 20024|38.884232|-77.02784900000002
901 D ST SW|Washington, DC 20024|38.8849631|-77.02462779999999
2846 ALABAMA AVE SE|Washington, DC 20020|38.860433|-76.966371
2323 MARTIN LUTHER KING JR AVE SE|Washington, DC 20020|38.863164|-76.99213999999999
1065 5TH ST NW|WASHINGTON, DC 20001|38.9037537|-77.0188987
903 N ST NW|WASHINGTON, DC 20001|38.907421|-77.02434099999999
1606 7TH NW|WASHINGTON, DC 20001|38.91144|-77.022234
485 K ST NW|WASHINGTON, DC 20001|38.902535|-77.0185752
400 8TH ST NW|Washington, DC 20001|38.895164|-77.022998
5252 WISCONSIN AVE NW|Washington, DC 20004|38.9586852|-77.085239
1275 PENNSYLVANIA AVE NW|WASHINGTON, DC 20004|38.8956012|-77.0293626
1201 I ST NW|Washington, DC 20005|38.901649|-77.02856
1316 9TH ST NW|WASHINGTON, DC 20001|38.907854|-77.024327
901 U ST NW|WASHINGTON, DC 20001|38.917276|-77.024281
401 9TH ST NW|Washington, DC 20001|38.8955248|-77.0237819
2017 11TH ST NW|Washington, DC 20001|38.9175449|-77.026665
1021 7TH ST NW|Washington, DC 20001|38.903698|-77.021491
1601 7TH ST NW|Washington, DC 20001|38.911311|-77.021734
910 F ST NW|WASHINGTON, DC 20004|38.8971097|-77.0245053
1309 F ST NW|WASHINGTON, DC 20004|38.897597|-77.030156
427 11TH ST NW|WASHINGTON, DC 20004|38.8951059|-77.0269946
1201 CONSTITUTION AVE NW|Washington, DC 20004|38.8920789|-77.0241083
901 MASSACHUSETTS AVE NW|Washington, DC 20001|38.903397|-77.024384
400 2ND ST NW|Washington, DC 20001|38.8954336|-77.0148049
623 H ST NW|WASHINGTON, DC 20001|38.9001189|-77.021023
1618 8TH ST NW|WASHINGTON, DC 20001|38.911663|-77.023209
915 U ST NW|Washington, DC 20001|38.917259|-77.024671
475 K ST NW APT 507|WASHINGTON, DC 20001|38.90278199999999|-77.0183179
601 F ST NW SPC DEWAR|Washington, DC 20001|38.8976413|-77.0205654
601 F ST NW SPC 102|Washington, DC 20001|38.8980058|-77.0210022
1201 13TH ST NW|Washington, DC 20005|38.905933|-77.029343
1425 K ST NW FL 1|WASHINGTON, DC 20005|38.908229|-77.03053899999999
1155 14TH ST NW|Washington, DC 20005|38.9050556|-77.03152589999999
601 F ST NW SPC 112|Washington, DC 20001|38.8980058|-77.0210022
2011 S ST NW|Washington, DC 20001|38.914337|-77.045439
601 F ST NW SPC 120|Washington, DC 20001|38.8980058|-77.0210022
1318 9TH ST NW|Washington, DC 20001|38.9079372|-77.0240779
99 H ST NW|WASHINGTON, DC 20001|38.900217|-77.0115364
1400 1ST ST NW|WASHINGTON, DC 20005|38.909073|-77.0130006
1575 I ST NW|Washington, DC 20005|38.90165700000001|-77.0354629
300 BRYANT ST NW|WASHINGTON, DC 20001|38.9205024|-77.01643949999999
300 NEW JERSEY AVE NW|WASHINGTON, DC 20001|38.8944064|-77.0108233
101 RHODE ISLAND AVE NW|Washington, DC 20001|38.915948|-77.012395
604 H ST NW|Washington, DC 20001|38.89955|-77.020392
1100 P ST NW|WASHINGTON, DC 20001|38.878269|-77.005552
2928 GEORGIA AVE NW|WASHINGTON, DC 20001|38.9278385|-77.0232152
1915 9TH ST NW|Washington, DC 20001|38.9162139|-77.02365499999999
806 H ST NW|WASHINGTON, DC 20001|38.8997294|-77.0232999
701 9TH ST NW|Washington, DC 20001|38.8991638|-77.0238049
781 7TH ST NW|Washington, DC 20001|38.8995296|-77.02176659999999
1527 14TH ST NW|Washington, DC 20005|38.910566|-77.0315789
1522 14TH ST NW|WASHINGTON, DC 20005|38.9104848|-77.0321672
1129 15TH ST NW|Washington, DC 20005|38.9046092|-77.03455070000001
1101 14TH ST NW|WASHINGTON, DC 20005|38.904034|-77.03154
1500 North Capitol ST NW|WASHINGTON, DC 20001|38.9097869|-77.0092523
111 MASSACHUSETTS AVE NW|Washington, DC 20004|38.899727|-77.01316299999999
435 11TH ST NW|WASHINGTON, DC 20004|38.8959335|-77.0268674
1423 P ST NW|Washington, DC 20005|38.9028605|-77.0291895
555 11TH ST NW|Washington, DC 20004|38.896732|-77.026567
1615 L ST NW|Washington, DC 20005|38.90379069999999|-77.0375612
1301 14TH ST NW|Washington, DC 20005|38.9075289|-77.031413
675 15TH ST NW|Washington, DC 20005|38.8980125|-77.0332632
1724 M ST NW|Washington, DC 20036|38.9056339|-77.0393129
624 E ST NW|WASHINGTON, DC 20004|38.8959909|-77.0214223
600 PENNSYLVANIA AVE NW|Washington, DC 20004|38.8928513|-77.0213926
1000 VERMONT AVE NW|WASHINGTON, DC 20005|38.902866|-77.033934
806 15TH ST NW|Washington, DC 20005|38.90051|-77.034069
601 F ST NW SPC 432A/432B|WASHINGTON, DC 20004|38.8975697|-77.0210507
641 D ST NW|Washington, DC 20004|38.894839|-77.02147699999999
1323 14TH ST NW|WASHINGTON, DC 20005|38.9080323|-77.0317895
1099 14TH ST NW|Washington, DC 20005|38.9036065|-77.0317173
10 THOMAS CIR NW|Washington, DC 20005|38.9062046|-77.03089609999999
1400 M ST NW|Washington, DC 20005|38.9052506|-77.0334345
341 Cedar ST NW|WASHINGTON, DC 20012|38.9748867|-77.01796279999999
6912 4TH ST NW|WASHINGTON, DC 20012|38.974138|-77.018371
6404 GEORGIA AVE NW|Washington, DC 20012|38.967794|-77.027828
1206 UNDERWOOD ST NW|Washington, DC 20012|38.968775|-77.02782599999999
1608 7th ST NW|Washington, DC 20001|38.911495|-77.022234
2600 14TH ST NW|Washington, DC 20009|38.923853|-77.03251499999999
1325 W ST NW|WASHINGTON, DC 20009|38.919196|-77.0301803
2335 18TH ST NW|Washington, DC 20009|38.920513|-77.0418169
1401 COLUMBIA RD NW|WASHINGTON, DC 20009|38.9277042|-77.0329203
1900 WYOMING AVE NW|Washington, DC 20009|38.918442|-77.044777
2122 18TH ST NW|WASHINGTON, DC 20009|38.918593|-77.04191070000002
2210 14TH ST NW|Washington, DC 20009|38.9195909|-77.032355
1324 U ST NW|Washington, DC 20009|38.9169924|-77.0306756
1301 U ST NW UNIT 113|WASHINGTON, DC 20009|38.917321|-77.030452
1212 U ST NW|Washington, DC 20009|38.916738|-77.028581
1830 14TH ST NW|WASHINGTON, DC 20009|38.915139|-77.03236299999999
2175 K ST NW|Washington, DC 20009|38.9027111|-77.0486411
1401 R ST NW|WASHINGTON, DC 20009|38.9126176|-77.032696
1825 18TH ST NW|Washington, DC 20009|38.915034|-77.041386
1622 14TH ST NW|WASHINGTON, DC 20009|38.9120762|-77.0323785
1213 U ST NW|Washington, DC 20009|38.917324|-77.028775
1507 U ST NW|Washington, DC 20009|38.917268|-77.03502499999999
1201 16TH ST NW|Washington, DC 20036|38.9061359|-77.035949
1718 CONNECTICUT AVE NW|Washington, DC 20009|38.913179|-77.0457873
2420 18TH ST NW|WASHINGTON, DC 20009|38.921285|-77.0425209
1201 MARYLAND AVE SW|WASHINGTON, DC 20024|38.8844533|-77.0294728
1738 CONNETICUT AVE NW|WASHINGTON, DC 20009|38.9132276|-77.0458663
1931 14TH ST NW|WASHINGTON, DC 20009|38.9166809|-77.031573
1723 CONNECTICUT AVE NW|WASHINGTON, DC 20009|38.91335300000001|-77.045169
2003 18TH ST NW|WASHINGTON, DC 20009|38.917293|-77.041383
2006 18TH ST NW|Washington, DC 20009|38.9172643|-77.0418649
1346 FLORIDA AVE NW|WASHINGTON, DC 20009|38.920125|-77.03104429999999
1771 Columbia RD NW|WASHINGTON, DC 20009|38.923592|-77.041994
2021 14TH ST NW|Washington, DC 20009|38.91799200000001|-77.031863
1847 14TH ST NW|WASHINGTON, DC 20009|38.91542099999999|-77.031671
1506 U ST NW|Washington, DC 20009|38.9169904|-77.0349477
1100 Harvard ST NW|WASHINGTON, DC 20009|38.926565|-77.027464
1014 VERMONT AVE NW|Washington, DC 20005|38.9030095|-77.0335303
2106 18TH ST NW|Washington, DC 20009|38.918124|-77.04192499999999
1624 U ST NW|Washington, DC 20009|38.916851|-77.03793329999999
1723 COLUMBIA RD NW|Washington, DC 20009|38.924735|-77.04008499999999
