address|city_state_zip|latitude|longitude
661 PENNSYLVANIA AVE SE|WASHINGTON, DC 20003|38.8844918|-76.9963543
423 8TH ST SE|Washington, DC 20003|38.88303|-76.99528699999999
1401 CONSTITUTION AVE NW|WASHINGTON, DC 20003|38.892018|-76.98548269999999
823 PENNSYLVANIA AVE SE|Washington, DC 20003|38.8833849|-76.99409399999999
1201 4TH ST SE|Washington, DC 20003|38.8759012|-77.0008556
656 PENNSYLVANIA AVE SE|WASHINGTON, DC 20003|38.8852509|-76.996714
1731 7th ST NW|WASHINGTON, DC 20003|38.913763|-77.0215769
1323 E ST SE|Washington, DC 20003|38.8826199|-76.9873552
421 SEWARD SQ SE|WASHINGTON, DC 20003|38.88527699999999|-76.999929
1012 VERMONT AVE NW|WASHINGTON, DC 20003|38.9031275|-77.033692
211 PENNSYLVANIA AVE SE|Washington, DC 20003|38.887103|-77.00303199999999
1625 K ST NW|Washington, DC 20003|38.902921|-77.0373539
1805 CONNECTICUT ST NW|Washington, DC 20009|38.9144145|-77.0459903
2443 18th ST NW|Washington, DC 20009|38.9216247|-77.0420051
1747 COLUMBIA RD NW|Washington, DC 20009|38.9241372|-77.0408676
1730 CONNECTICUT AVE NW|WASHINGTON, DC 20009|38.9135248|-77.045931
2224 18TH ST NW|WASHINGTON, DC 20009|38.9190462|-77.04169759999999
1345 POTOMAC AVE SE|WASHINGTON, DC 20003|38.879337|-76.98671499999999
1524 U ST NW|Washington, DC 20009|38.916744|-77.035568
1201 SOUTH CAPITOL ST SW|Washington, DC 20003|38.875526|-77.009461
1350 POTOMAC AVE SE|WASHINGTON, DC 20003|38.8800752|-76.98672549999999
705 8TH ST SE|WASHINGTON, DC 20003|38.880964|-76.995311
803 15TH ST NW|WASHINGTON, DC 20003|38.8794556|-76.98367669999999
1506 EAST CAPITOL ST NE|Washington, DC 20003|38.89013|-76.98326899999999
2912 LANGSTON PL SE|Washington, DC 20003|38.854739|-76.973658
215 PENNSYLVANIA AVE SE|Washington, DC 20003|38.887044|-77.00290199999999
643 PENNSYLVANIA AVE SE|Washington, DC 20003|38.884656|-76.99701499999999
501 EAST CAPITOL ST SE|Washington, DC 20003|38.889463|-76.99929999999999
2244 10TH ST NW|Washington, DC 20009|38.920269|-77.0261385
2450 18TH ST NW|Washington, DC 20009|38.921944|-77.04275109999999
1739 CONNECTICUT AVE NW|WASHINGTON, DC 20009|38.913731|-77.04535899999999
1942 11TH ST NW|Washington, DC 20009|38.9167671|-77.027064
1813 ADAMS MILL RD NW -|WASHINGTON, DC 20009|38.923248|-77.04257299999999
2317 18TH ST NW|WASHINGTON, DC 20009|38.9202164|-77.0416382
308 PENNSYLVANIA AVE SE|Washington, DC 20003|38.887229|-77.00157399999999
629 PENNSYLVANIA AVE SE|Washington, DC 20003|38.884791|-76.997483
517 8TH ST SE|Washington, DC 20003|38.882166|-76.9953419
1831 COLUMBIA RD NW|WASHINGTON, DC 20009|38.92171400000001|-77.043835
210 2ND ST SE|Washington, DC 20003|38.8870701|-77.00335
1102 8TH ST SE|Washington, DC 20003|38.87734349999999|-76.99476849999999
1801 COLUMBIA RD NW|Washington, DC 20009|38.92272|-77.04304599999999
1700 CONNECTICUT AVE NW|Washington, DC 20009|38.912876|-77.045727
1700 17TH ST NW|Washington, DC 20009|38.91285450000001|-77.0387018
1610 U ST NW|Washington, DC 20009|38.916731|-77.03731499999999
3306 14TH ST NW|Washington, DC 20009|38.9307068|-77.0327582
2469 18TH ST NW|Washington, DC 20009|38.9222523|-77.0422176
1001 2ND ST SE|WASHINGTON, DC 20003|38.8777583|-77.003654
1801 14TH ST NW|WASHINGTON, DC 20009|38.914248|-77.031645
1430 PENNSYLVANIA AVE SE|Washington, DC 20003|38.880132|-76.98418
1319 Connecticut AVE NW|WASHINGTON, DC 20003|38.907931|-77.042017
645 MILWAKEE PL AVE SE|Washington, DC 20003|38.8831372|-76.9902276
129 15TH ST SE|WASHINGTON, DC 20003|38.887913|-76.983952
4201 Butterworth PL NW|WASHINGTON, DC 20003|38.949163|-77.082906
1317 PENNSYLVANIA AVE SE|Washington, DC 20003|38.880847|-76.987757
521 8TH ST SE|Washington, DC 20003|38.882097|-76.9953419
1762 COLUMBIA RD NW|Washington, DC 20009|38.923532|-77.040866
1817 COLUMBIA RD NW|WASHINGTON, DC 20009|38.9219549|-77.043646
2424 18TH ST NW|Washington, DC 20009|38.92143410000001|-77.0423363
3463 14TH ST NW|Washington, DC 20009|38.9340726|-77.03249269999999
1910 14TH ST NW|WASHINGTON, DC 20009|38.9158789|-77.032281
1818 14TH ST NW|WASHINGTON, DC 20009|38.914722|-77.03236100000001
3100 SOUTH ST NW|Washington, DC 20007|38.903232|-77.06181889999999
770 M ST SE|WASHINGTON, DC 20003|38.87700299999999|-76.99557399999999
2427 18TH ST NW|Washington, DC 20009|38.9212518|-77.0418796
1201 S ST NW|WASHINGTON, DC 20009|38.914323|-77.028279
2453 18TH ST NW|Washington, DC 20009|38.9218227|-77.0421878
2001 EAST CAPITOL ST SE|Washington, DC 20003|38.889346|-76.975579
300 1ST ST SE|Washington, DC 20003|38.885755|-77.00582399999999
711 8TH ST SE|Washington, DC 20003|38.880826|-76.99530299999999
2123 14TH ST NW|WASHINGTON, DC 20003|38.9185068|-77.0317991
1500 SOUTH CAPITOL ST SE SPC 141|Washington, DC 20003|38.874582|-77.0078499
1201 U ST NW|Washington, DC 20009|38.9171912|-77.02829659999999
1500 SOUTH CAPITOL ST SE SPC 136|Washington, DC 20003|38.874582|-77.0078499
1500 SOUTH CAPITOL ST SE SPC 110|Washington, DC 20003|38.874582|-77.0078499
3126 12TH ST NE|WASHINGTON, DC 20017|38.929418|-76.99103
639 PENNSYLVANIA AVE SE|WASHINGTON, DC 20003|38.884709|-76.99718399999999
1500 SOUTH CAPITOL ST SE SPC 229|Washington, DC 20003|38.874582|-77.0078499
713 8TH ST SE|Washington, DC 20003|38.8807649|-76.9953419
208 RIGGS RD NE|Washington, DC 20018|38.9561643|-77.0032513
515 EAST CAPITOL ST SE|Washington, DC 20003|38.8895031|-76.9987814
1334 U ST NW|Washington, DC 20009|38.916737|-77.030986
201 EAST CAPITOL ST SE|Washington, DC 20003|38.8893879|-77.0030586
2418 18TH ST NW|Washington, DC 20009|38.921219|-77.04249899999999
2337 18TH ST NW|WASHINGTON, DC 20009|38.9206059|-77.041657
1060 BRENTWOOD RD NE|WASHINGTON, DC 20018|38.91922|-76.99328799999999
1207 U ST NW|WASHINGTON, DC 20009|38.91719399999999|-77.028522
1742 CONNECTICUT AVE NW|WASHINGTON, DC 20009|38.9139473|-77.04607089999999
2 I ST SE|Washington, DC 20003|38.8797158|-77.0083904
1914 14TH ST NW|WASHINGTON, DC 20009|38.916091|-77.032393
329 PENNSYLVANIA AVE SE|Washington, DC 20003|38.8864474|-77.00114810000001
3200 GEORGIA AVE NW|Washington, DC 20010|38.930203|-77.02367699999999
1500 SOUTH CAPITOL ST SE SPC CLUB|Washington, DC 20003|38.876552|-76.98327520000001
415 14TH ST SE|Washington, DC 20003|38.8835831|-76.9865549
1926 14TH ST NW|Washington, DC 20009|38.916444|-77.032394
1500 SOUTH CAPITOL ST SE SPC 310|Washington, DC 20003|38.874582|-77.0078499
1500 SOUTH CAPITOL ST SE SPC 301|Washington, DC 20003|38.874582|-77.0078499
3178 BLADENSBURG RD NE|WASHINGTON, DC 20018|38.9296431|-76.9601673
4339 CONNECTICUT AVE NW|Washington, DC 20018|38.945234|-77.06361199999999
1500 SOUTH CAPITOL ST SE SPC MAIN|Washington, DC 20003|38.8969141|-77.0445227
2017 S ST NW|Washington, DC 20009|38.914269|-77.045686
406 8TH ST SE|WASHINGTON, DC 20003|38.8835076|-76.9947981
1500 SOUTH CAPITOL ST SE SPC 106|Washington, DC 20003|38.874582|-77.0078499
1500 SOUTH CAPITOL ST SE SPC WH|Washington, DC 20003|38.8831372|-76.9902276
1216 18TH ST NW|WASHINGTON, DC 20009|38.90635|-77.042059
525 SCHOOL ST SW|Washington, DC 20024|38.8841014|-77.01951919999999
2012 T ST NW|Washington, DC 20009|38.9155583|-77.0443809
1330 PENNSYLVANIA AVE SE|Washington, DC 20003|38.8810795|-76.9866493
2701 14TH ST NW|Washington, DC 20009|38.925116|-77.031813
925 BRENTWOOD RD NE|WASHINGTON, DC 20018|38.917523|-76.993111
1500 SOUTH CAPITOL ST SE SPC PRESC|Washington, DC 20003|38.9021888|-77.0461316
2413 18th ST NW|WASHINGTON, DC 20009|38.9210497|-77.0421242
2411 18TH ST NW|Washington, DC 20009|38.9208848|-77.0417535
212 2ND ST SE|Washington, DC 20003|38.886998|-77.003232
1776 U ST NW|Washington, DC 20009|38.91673300000001|-77.04114899999999
1120 20TH ST NW|Washington, DC 20009|38.904593|-77.045383
1846 13TH ST NW|Washington, DC 20009|38.915432|-77.02990299999999
900 M ST SE|WASHINGTON, DC 20003|38.8765449|-76.99375599999999
3011 RHODE ISLAND AVE NE|Washington, DC 20018|38.9339224|-76.9658802
1801 Belmont RD NW|WASHINGTON, DC 20009|38.9205932|-77.0420122
2300 SOUTH DAKOTA AVE NE|WASHINGTON, DC 20018|38.9208969|-76.95962200000001
1637 17TH ST NW|Washington, DC 20010|38.91243|-77.038418
1658 COLUMBIA RD NW|Washington, DC 20009|38.924885|-77.03874499999999
2010 18TH ST NW|WASHINGTON, DC 20009|38.9172286|-77.0418753
2018 FLORIDA AVE NW|Washington, DC 20009|38.914523|-77.04552199999999
711 D ST SE|WASHINGTON, DC 20003|38.883533|-76.995654
1401 PENNSYLVANIA AVE SE|Washington, DC 20003|38.879725|-76.985052
2323 18TH ST NW|Washington, DC 20009|38.920329|-77.04156119999999
2123 RHODE ISLAND AVE NE|Washington, DC 20018|38.929701|-76.9739929
1100 1ST ST SE|WASHINGTON, DC 20003|38.8771707|-77.0056544
1251 HOWSON PL SW|WASHINGTON, DC 20024|38.8761083|-77.0190228
1023 EAST CAPITOL ST SE|Washington, DC 20003|38.889518|-76.991722
2445 M ST NW|WASHINGTON, DC 20037|38.90557769999999|-77.0526052
2647 CONNECTICUT AVE NW|Washington, DC 20018|38.9248611|-77.0520313
202 M ST SE|WASHINGTON, DC 20003|38.8765444|-77.0034136
305 15TH ST SE|WASHINGTON, DC 20003|38.8852894|-76.9836734
2009 14TH ST NW|Washington, DC 20009|38.917369|-77.031583
1712 CONNECTICUT AVE NW|Washington, DC 20009|38.913026|-77.04581999999999
1500 SOUTH CAPITOL ST SE SPC 314|Washington, DC 20003|38.874582|-77.0078499
