establishment_name,address,city,state_zip,yelp_id
BEAUVOIR SCHOOL POOL,3500 Woodley RD NW,WASHINGTON, DC 20016,beauvoir-national-cathedral-elementary-school-swimming-pool-washington
BOBBY VAN'S GRILL,1201 NEW YORK AVE NW,Washington, DC 20006,blt-steak-washington
TRADER JOE'S,1914 14TH ST NW,WASHINGTON, DC 20009,trader-joes-washington-2
COSI,1919 M ST NW,Washington, DC 20036,cosi-washington-8
NATIONAL PRESS CLUB LIQUOR STOre,529 14TH ST NW,Washington, DC 20005,national-press-club-washington
LA PERLA RESTAURANT,2600 PENNSYLVANIA AVE NW,Washington, DC 20037,ristorante-la-perla-washington
CATCH 15,1518 K ST NW,WASHINGTON, DC 20005,catch-15-washington-2
BEACON HOTEL & CORPORATE QUARTERS (s),1615 RHODE ISLAND AVE NW,Washington, DC 20036,the-beacon-hotel-washington
METROPOLITAN AME CHURCH KITCHEN,1518 M ST NW,Washington, DC 20005,beacon-bar-and-grill-washington
BISTRO FRANCAIS,3124 M ST NW,Washington, DC 20007,bistro-francais-washington
WINGO'S,3207 O ST NW,Washington, DC 20007,wingos-washington
BURKA'S LIQUOR,3500 WISCONSIN AVE NW,Washington, DC 20015,burkas-wine-and-liquor-store-washington
DOLLARS & GIFTS,7717 GEORGIA AVE NW,Washington, DC 20012,murrays-auto-clinic-silver-spring-2
AMERICAN CAFE,4400 MASSACHUSETTS AVE NW,Washington, DC 20016,freshii-washington-4
AL DENTE RESTAURANT,3201 NEW MEXICO AVE NW,Washington, DC 20016,al-dente-washington
CAFE AT KATZEN CENTER,4400 MASSACHUSETTS AVE NW,Washington, DC 20016,american-university-museum-at-the-katzen-arts-center-washington
CAFE DELUXE,3228 Wisconsin AVE NW,WASHINGTON, DC 20016,cafe-deluxe-washington
SAKURAMEN RESTAURANT,2441 18TH ST NW,WASHINGTON, DC 20009,sakuramen-washington
SMUCKER FARMS OF LANCASTER COUNTY,2118 14TH ST NW,WASHINGTON, DC 20009,smucker-farms-of-lancaster-county-washington
SMASHBURGER,1739 CONNECTICUT AVE NW,WASHINGTON, DC 20009,smashburger-washington
STARBUCKS,1700 CONNECTICUT AVE NW,Washington, DC 20009,dolcezza-artisanal-gelato-washington-6
STARBUCKS,2175 K ST NW,Washington, DC 20009,starbucks-coffee-washington-22
FLORIANA(n),1602 17TH ST NW,Washington, DC 20016,sushi-taro-washington
STANDARD (n),1801 14TH ST NW,WASHINGTON, DC 20009,garden-district-washington-3
STARBUCKS,1250 U ST NW,Washington, DC 20009,starbucks-coffee-washington-29
HOMEMADE PIZZA,4857 MASSACHUSETTS AVE NW,Washington, DC 20016,homemade-pizza-company-washington
LE PAIN QUOTIDIEN,4872 MASSACHUSETTS AVE NW,Washington, DC 20016,le-pain-quotidien-washington-3
KITTY O'SHEA'S PUB & RESTAURANT(n),4624 WISCONSIN AVE NW,Washington, DC 20016,kitty-o-sheas-dc-washington
MAC MARKET & DELI,5185 MACARTHUR BLVD NW,WASHINGTON, DC 20016,mac-market-washington
MASALA  ART,4441 WISCONSIN AVE NW,Washington, DC 20016,masala-art-washington
STARBUCKS,1600 U ST NW,Washington, DC 20009,starbucks-washington-10
MARKETPLACE/TAVERN/FRESHII/EINSTEIN BAGEL,4400 MASSACHUSETTS AVE NW,Washington, DC 20016,freshii-washington-4
STEAM CAFE,1700 17TH ST NW,Washington, DC 20009,steam-cafe-pizzeria-washington
STETSON'S(n),1610 U ST NW,Washington, DC 20009,stetsons-famous-bar-and-grill-washington
SUBWAY,4401 CONNECTICUT AVE NW,Washington, DC 20009,subway-washington-36
SUBWAY,1605 CONNECTICUT AVE NW,Washington, DC 20009,subway-washington-16
SUBWAY,1115 U ST NW #C,Washington, DC 20009,subway-washington-53
SUBWAY SANDWICH SHOP,3306 14TH ST NW,Washington, DC 20009,uptowner-cafe-washington-2
MAYFLOWER CHINESE RESTAURANT,4427 WISCONSIN AVE NW,Washington, DC 20016,mayflower-chinese-food-washington
SUGAR DADDY'S BAKERY,2006 18TH ST NW,Washington, DC 20009,sugar-daddys-bakery-washington
MCDONALD'S,4130 WISCONSIN AVE NW,Washington, DC 20016,mcdonalds-washington-5
SWEETGREEN,1325 W ST NW,WASHINGTON, DC 20009,sweetgreen-washington-13
MIMI'S CONVENIENCE,5435 MACARTHUR BLVD NW,Washington, DC 20016,mimis-convenience-mart-washington
NBC,4001 NEBRASKA AVE NW,Washington, DC 20016,nbc-4-washington
MCDONALD'S,5300 WISCONSIN AVE NW,Washington, DC 20016,mcdonalds-washington-35
PANERA BREAD,4501 WISCONSIN AVE NW,WASHINGTON, DC 20016,panera-bread-washington-4
TANGIER LOUNGE (n) (s),2305 18TH ST NW UNIT 101,WASHINGTON, DC 20009,bistrot-du-coin-washington
TEAISM,2009 R ST NW,Washington, DC 20009,teaism-washington-8
THE COFFEE BAR,1201 S ST NW,WASHINGTON, DC 20009,the-coffee-bar-washington
THE DINER,2453 18TH ST NW,Washington, DC 20009,the-diner-washington
PIZZA AUTHENTIC,4200 WISCONSIN AVE NW,Washington, DC 20016,cafe-olé-washington-2
ROME PIZZA & SUB,5000 WISCONSIN AVE NW,Washington, DC 20016,rome-pizza-and-sub-washington
CONGRESS  HEIGHTS,3109 MARTIN LUTHER KING JR AVE SE C,Washington, DC 20032,liffs-market-washington
POPEYE'S CHICKEN & BISCUITS,4309 WISCONSIN AVE NW,Washington, DC 20016,popeyes-washington-5
SIBLEY HOSPITAL POOL,5255 LOUGHBORO RD NW,Washington, DC 20016,bambu-washington-3
SALT AND PEPPER (n),5125 MACARTHUR BLVD NW,Washington, DC 20016,blacksalt-fish-market-and-restaurant-washington
SIBLEY MEMORIAL HOSPITAL CAFETERIA,5255 LOUGHBORO RD NW,Washington, DC 20016,sibley-memorial-hospital-washington-2
STARBUCKS,5255 LOUGHBORO RD NW,Washington, DC 20016,starbucks-washington-54
STARBUCK'S @ AMERICAN UNIVERSITY,4400 MASSACHUSETTS AVE NW,Washington, DC 20016,davenport-coffee-lounge-washington
THE REGENT THAI CUISINE,1910 18TH ST NW,Washington, DC 20009,the-regent-washington-2
THE ISLANDER CARIBBEAN RESTAURANT(n),1201 U ST NW,Washington, DC 20009,islander-carribean-restaurant-and-lounge-washington-2
THE PHARMACY BAR (n),2337 18TH ST NW,WASHINGTON, DC 20009,angles-bar-and-billiards-washington-2
THE STUDEO,1742 CONNECTICUT AVE NW,WASHINGTON, DC 20009,the-studeo-washington-2
THE WYDOWN,1320 U ST NW,Washington, DC 20009,the-wydown-coffee-bar-washington
THE SALOON(n),1207 U ST NW,WASHINGTON, DC 20009,sollys-tavern-washington
TOUCHDOWN (n),1344 U ST NW,Washington, DC 20009,the-codmother-washington
Town Restaurant,2009 8TH ST NW,Washington, DC 20009,nellies-sports-bar-washington
